category_path,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,explanation_a,explanation_b,explanation_c,explanation_d,reference_link,difficulty_level
Medicine/Anatomy/Abdomen/Anterior abdominal wall,Which muscle forms the linea alba?,External oblique,Internal oblique,Rectus abdominis,Transversus abdominis,C,Linea alba is formed by fusion of aponeuroses,Wrong,Wrong,Correct! Rectus abdominis inserts into linea alba,Wrong,https://example.com/linea_alba,medium
Medicine/Anatomy/Thorax/Heart,Which valve prevents backflow into the left atrium?,Pulmonary valve,Tricuspid valve,Aortic valve,Mitral valve,D,Mitral valve separates left atrium and ventricle,Wrong - pulmonary guards pulmonary trunk,Wrong - tricuspid is on right side,Wrong - aortic guards left ventricle outflow,Correct!,https://www.ncbi.nlm.nih.gov/books/NBK470472/,medium
Medicine/Physiology/Cardiovascular,Which pacemaker normally initiates the heartbeat?,AV node,SA node,Bundle of His,Purkinje fibers,B,SA node is the natural pacemaker of the heart,Wrong - AV node delays conduction,Correct! SA node initiates impulse,Wrong - Bundle of His conducts,Wrong - Purkinje fibers spread impulse,https://www.ncbi.nlm.nih.gov/books/NBK538339/,easy
Medicine/Physiology/Respiratory,What is the primary stimulus for breathing?,Low oxygen,High carbon dioxide,Low blood pH,High nitrogen,B,CO₂ levels drive ventilation,Wrong - O₂ only in extreme cases,Correct! CO₂ regulates,Wrong - low pH is consequence,Wrong - nitrogen not relevant,https://www.ncbi.nlm.nih.gov/books/NBK482448/,medium
Medicine/Neuroanatomy/Brain,Which lobe of the brain is responsible for vision?,Frontal,Temporal,Occipital,Parietal,C,Occipital lobe processes visual input,Wrong - frontal handles motor/planning,Wrong - temporal is auditory/memory,Correct! Occipital handles vision,Wrong - parietal handles sensation,https://www.ncbi.nlm.nih.gov/books/NBK538496/,easy
Medicine/Pathology/Oncology,Which hallmark is a defining feature of cancer?,Loss of apoptosis,Increased apoptosis,Reduced cell growth,Controlled differentiation,A,Cancer cells evade apoptosis,Correct! They avoid programmed death,Wrong - apoptosis is reduced not increased,Wrong - they have uncontrolled growth,Wrong - differentiation is lost,https://www.ncbi.nlm.nih.gov/books/NBK557736/,hard
Medicine/Pharmacology/Antibiotics,Which class of antibiotics inhibits bacterial cell wall synthesis?,Macrolides,Tetracyclines,Penicillins,Fluoroquinolones,C,Penicillins block peptidoglycan cross-linking,Wrong - macrolides block protein synthesis,Wrong - tetracyclines block ribosome binding,Correct! Penicillins act on cell wall,Wrong - fluoroquinolones block DNA gyrase,https://www.ncbi.nlm.nih.gov/books/NBK554555/,medium
Medicine/Pharmacology/Cardiovascular,Which drug is a beta-blocker?,Atenolol,Losartan,Amlodipine,Lisinopril,A,Beta blockers end with -olol,Correct! Atenolol is beta-blocker,Wrong - losartan is ARB,Wrong - amlodipine is calcium channel blocker,Wrong - lisinopril is ACE inhibitor,https://www.ncbi.nlm.nih.gov/books/NBK532906/,medium
Medicine/Microbiology/Viruses,Which virus causes AIDS?,Hepatitis B,HIV,Influenza,HPV,B,HIV attacks CD4 cells,Wrong - Hepatitis B causes liver infection,Correct! HIV causes AIDS,Wrong - Influenza causes flu,Wrong - HPV causes warts/cancer,https://www.ncbi.nlm.nih.gov/books/NBK559316/,easy
Medicine/Anatomy/Skeletal,Which bone is the longest in the human body?,Femur,Tibia,Humerus,Fibula,A,Femur is the longest bone,Correct! Femur,Wrong - tibia is second longest,Wrong - humerus is shorter,Wrong - fibula is thin,https://www.ncbi.nlm.nih.gov/books/NBK532879/,easy
Science/Physics/Light,What is the speed of light in vacuum?,299,792,458 m/s,300,000,000 m/s,186,000 miles/s,299,792,458 km/s,A,Exact SI value,Approximate,Approximate in miles per second,Way too large,https://en.wikipedia.org/wiki/Speed_of_light,hard
Science/Physics/Mechanics,What is the SI unit of force?,Newton,Joule,Watt,Pascal,A,Force is measured in Newtons,Correct! Newton is SI unit of force,Wrong - Joule is energy,Wrong - Watt is power,Wrong - Pascal is pressure,https://en.wikipedia.org/wiki/Newton_(unit),easy
Science/Physics/Mechanics,Who formulated the three laws of motion?,Einstein,Newton,Galileo,Kepler,B,Isaac Newton defined them in Principia Mathematica,Wrong - Einstein developed relativity,Correct! Newton’s laws,Wrong - Galileo studied motion but didn’t formalize the three laws,Wrong - Kepler worked on planetary orbits,https://en.wikipedia.org/wiki/Newton%27s_laws_of_motion,easy
Science/Physics/Thermodynamics,What is the second law of thermodynamics concerned with?,Entropy,Force,Work,Energy conservation,A,It states entropy of an isolated system increases,Correct! Entropy law,Wrong - force is Newtonian,Wrong - work is energy transfer,Wrong - conservation is first law,https://en.wikipedia.org/wiki/Second_law_of_thermodynamics,hard
Science/Physics/Electricity,The unit of electric current is?,Volt,Ampere,Ohm,Coulomb,B,Ampere is SI unit of current,Wrong - volt measures potential,Correct! Ampere measures current,Wrong - ohm measures resistance,Wrong - coulomb measures charge,https://en.wikipedia.org/wiki/Electric_current,easy
Science/Physics/Waves,Which wave is longitudinal?,Light wave,Water wave,Sound wave,Radio wave,C,Sound is longitudinal,Wrong - light is transverse,Wrong - water is surface,Correct! Sound travels longitudinally,Wrong - radio is electromagnetic,https://en.wikipedia.org/wiki/Longitudinal_wave,medium
Science/Chemistry/Periodic Table,Which element has the atomic number 6?,Oxygen,Carbon,Nitrogen,Boron,B,Carbon has atomic number 6,Wrong - oxygen is 8,Correct! Carbon is 6,Wrong - nitrogen is 7,Wrong - boron is 5,https://en.wikipedia.org/wiki/Carbon,medium
Science/Chemistry/Bonds,Which bond is strongest?,Ionic,Hydrogen,Covalent,Van der Waals,C,Covalent bonds share electrons strongly,Wrong - ionic weaker in water,Wrong - hydrogen weaker,Correct! Covalent strongest,Wrong - Van der Waals weakest,https://en.wikipedia.org/wiki/Chemical_bond,medium
Science/Chemistry/Acids,What is the pH of pure water at 25°C?,0,7,14,1,B,Neutral water has pH 7,Wrong - 0 is strongly acidic,Correct! Neutral pH,Wrong - 14 is basic,Wrong - 1 is acidic,https://en.wikipedia.org/wiki/pH,easy
Science/Biology/Genetics,Which molecule carries genetic information?,Protein,RNA,DNA,Lipid,C,DNA stores hereditary material,Wrong - proteins are structural/enzymatic,Wrong - RNA carries messages,Correct! DNA carries genes,Wrong - lipids store energy,https://en.wikipedia.org/wiki/DNA,easy
Science/Biology/Cell,What organelle is the powerhouse of the cell?,Nucleus,Mitochondrion,Ribosome,Golgi apparatus,B,Mitochondria generate ATP,Wrong - nucleus stores DNA,Correct! Mitochondria make energy,Wrong - ribosomes make protein,Wrong - Golgi modifies proteins,https://en.wikipedia.org/wiki/Mitochondrion,easy
Science/Biology/Evolution,Who proposed the theory of natural selection?,Darwin,Lamarck,Mendel,Watson,A,Darwin proposed it in 1859,Correct! Darwin,Wrong - Lamarck had incorrect inheritance idea,Wrong - Mendel studied genetics,Wrong - Watson discovered DNA structure,https://en.wikipedia.org/wiki/Charles_Darwin,easy
Science/Biology/Immunology,Which cells produce antibodies?,T cells,B cells,Macrophages,Neutrophils,B,B cells differentiate into plasma cells,Wrong - T cells regulate immunity,Correct! B cells,Wrong - macrophages engulf,Wrong - neutrophils fight bacteria,https://en.wikipedia.org/wiki/B_cell,medium
Science/Mathematics/Algebra,What is the quadratic formula?,(-b±√(b²-4ac))/2a,(a±√(a²-4bc))/2b,(c±√(c²-4ab))/2a,(b±√(a²-4bc))/2c,A,Quadratic solutions use -b±√(b²-4ac)/2a,Correct! This is the formula,Wrong - incorrect arrangement,Wrong - variables misplaced,Wrong - not standard form,https://en.wikipedia.org/wiki/Quadratic_formula,medium
Science/Mathematics/Geometry,What is the sum of interior angles of a triangle?,90°,180°,270°,360°,B,Triangle angles add to 180,Wrong - 90 is single right angle,Correct! 180 total,Wrong - 270 is quadrilateral,Wrong - 360 is quadrilateral,https://en.wikipedia.org/wiki/Triangle,easy
Science/Mathematics/Calculus,Derivative of sin(x) is?,cos(x),-sin(x),-cos(x),tan(x),A,Derivative rule: d/dx[sin(x)]=cos(x),Correct! cos(x),Wrong - negative applies to cos,Wrong - derivative of cos is -sin,Wrong - tan derivative is sec²,https://en.wikipedia.org/wiki/Differentiation_rules,easy
Science/Mathematics/Statistics,What is the mean of 2, 4, 6, 8?,4,5,6,7,B,Mean = sum/n = 20/4=5,Wrong - 4 is median of first two,Correct! 5 is mean,Wrong - 6 is median,Wrong - 7 not relevant,https://en.wikipedia.org/wiki/Mean,easy
General/History/World War II,Which year did World War II end?,1943,1944,1945,1946,C,War ended in 1945 with Allied victory,Wrong - 1943 still ongoing,Wrong - 1944 D-Day but not end,Correct! Ended 1945,Wrong - 1946 was post-war,https://en.wikipedia.org/wiki/World_War_II,easy
General/History/Ancient,Who built the Great Pyramid of Giza?,Khafre,Khufu,Menkaure,Tutankhamun,B,Khufu’s pyramid is the largest,Wrong - Khafre built second pyramid,Correct! Khufu built Great Pyramid,Wrong - Menkaure built smaller,Wrong - Tutankhamun unrelated,https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza,easy
General/Geography/Africa,Which is the longest river in Africa?,Congo,Nile,Niger,Zambezi,B,Nile is longest at ~6,650 km,Wrong - Congo is shorter,Correct! Nile is longest,Wrong - Niger is shorter,Wrong - Zambezi is shorter,https://en.wikipedia.org/wiki/Nile,medium
General/Geography/Asia,Which is the highest mountain in the world?,K2,Everest,Kilimanjaro,Denali,B,Mount Everest is highest,Wrong - K2 is second,Correct! Everest,Wrong - Kilimanjaro is highest in Africa,Wrong - Denali is highest in N.America,https://en.wikipedia.org/wiki/Mount_Everest,easy
General/Geography/World,What is the capital of Australia?,Sydney,Canberra,Melbourne,Brisbane,B,Canberra is capital,Wrong - Sydney is largest city,Correct! Canberra,Wrong - Melbourne is cultural hub,Wrong - Brisbane is regional,https://en.wikipedia.org/wiki/Canberra,easy
General/Geography/Europe,Which river flows through Paris?,Seine,Thames,Danube,Rhine,A,Seine flows through Paris,Correct! Seine,Wrong - Thames is London,Wrong - Danube central Europe,Wrong - Rhine in Germany,https://en.wikipedia.org/wiki/Seine,medium
General/Literature/Authors,Who wrote "Romeo and Juliet"?,Chaucer,Shakespeare,Dickens,Homer,B,Shakespeare wrote the play,Wrong - Chaucer wrote Canterbury Tales,Correct! Shakespeare,Wrong - Dickens wrote novels,Wrong - Homer wrote epics,https://en.wikipedia.org/wiki/William_Shakespeare,easy
General/Literature/Books,"1984" was written by?,George Orwell,Aldous Huxley,Mark Twain,Leo Tolstoy,A,Orwell wrote 1984,Correct! Orwell,Wrong - Huxley wrote Brave New World,Wrong - Twain wrote Huck Finn,Wrong - Tolstoy wrote War & Peace,https://en.wikipedia.org/wiki/Nineteen_Eighty-Four,easy
General/Literature/Mythology,In Greek mythology, who is the king of the gods?,Poseidon,Hades,Zeus,Apollo,C,Zeus rules Olympus,Wrong - Poseidon rules sea,Wrong - Hades underworld,Correct! Zeus,Wrong - Apollo sun/music,https://en.wikipedia.org/wiki/Zeus,easy
General/Technology/Computers,Who is known as the father of computing?,Alan Turing,Charles Babbage,Bill Gates,John von Neumann,B,Babbage designed the Analytical Engine,Wrong - Turing is AI pioneer,Correct! Babbage is father of computing,Wrong - Gates founded Microsoft,Wrong - von Neumann made architecture,https://en.wikipedia.org/wiki/Charles_Babbage,easy
General/Technology/Internet,What does "HTTP" stand for?,Hyper Text Transfer Protocol,Hyper Text Transmission Process,High Transfer Text Protocol,Host Transfer Technical Protocol,A,HTTP = Hyper Text Transfer Protocol,Correct! Definition,Wrong - incorrect term,Wrong - made up,Wrong - incorrect,https://en.wikipedia.org/wiki/HTTP,easy
General/Technology/AI,Which company developed ChatGPT?,Google,Microsoft,OpenAI,IBM,C,OpenAI created ChatGPT,Wrong - Google made Bard,Wrong - Microsoft partnered but not created,Correct! OpenAI,Wrong - IBM made Watson,https://en.wikipedia.org/wiki/ChatGPT,easy
General/Sports/Football,Which country won FIFA World Cup 2018?,Brazil,France,Germany,Argentina,B,France won in 2018,Wrong - Brazil last won 2002,Correct! France,Wrong - Germany won 2014,Wrong - Argentina won 2022,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup,easy
General/Sports/Olympics,Where were the 2016 Summer Olympics held?,Tokyo,Rio de Janeiro,London,Beijing,B,Rio hosted 2016,Wrong - Tokyo hosted 2021,Correct! Rio,Wrong - London 2012,Wrong - Beijing 2008,https://en.wikipedia.org/wiki/2016_Summer_Olympics,easy
General/Sports/Tennis,Which player has won the most Grand Slam titles (men)?,Federer,Nadal,Djokovic,Sampras,C,Djokovic leads with 24 slams,Wrong - Federer 20,Wrong - Nadal 22,Correct! Djokovic,Wrong - Sampras 14,https://en.wikipedia.org/wiki/Novak_Djokovic,hard
General/Music/Classical,Who composed the "Fifth Symphony"?,Beethoven,Mozart,Bach,Handel,A,Beethoven’s Fifth is famous,Correct! Beethoven,Wrong - Mozart wrote others,Wrong - Bach baroque,Wrong - Handel Messiah,https://en.wikipedia.org/wiki/Symphony_No._5_(Beethoven),easy
General/Music/Pop,Who is known as the "King of Pop"?,Prince,Michael Jackson,Elvis Presley,Whitney Houston,B,Michael Jackson is King of Pop,Wrong - Prince title different,Correct! Michael Jackson,Wrong - Elvis is King of Rock,Wrong - Whitney not relevant,https://en.wikipedia.org/wiki/Michael_Jackson,easy
General/Music/Instruments,Which family does the violin belong to?,Woodwind,Brass,String,Percussion,C,Violin is string instrument,Wrong - woodwind = clarinet,Wrong - brass = trumpet,Correct! String,Wrong - percussion = drums,https://en.wikipedia.org/wiki/Violin,easy
General/Art/Painting,Who painted the Mona Lisa?,Van Gogh,Michelangelo,Leonardo da Vinci,Picasso,C,Da Vinci painted it,Wrong - Van Gogh did Starry Night,Wrong - Michelangelo sculptor,Correct! Da Vinci,Wrong - Picasso cubism,https://en.wikipedia.org/wiki/Mona_Lisa,easy
General/Art/Sculpture,Which famous statue is in Rio de Janeiro?,Statue of Liberty,Christ the Redeemer,The Thinker,David,B,Christ the Redeemer is landmark,Wrong - Liberty is New York,Correct! Christ the Redeemer,Wrong - The Thinker is Rodin,Wrong - David is Michelangelo,https://en.wikipedia.org/wiki/Christ_the_Redeemer_(statue),easy
General/Philosophy/Thinkers,Who wrote "The Republic"?,Plato,Aristotle,Socrates,Descartes,A,Plato authored The Republic,Correct! Plato,Wrong - Aristotle wrote Politics,Wrong - Socrates did not write,Wrong - Descartes wrote Meditations,https://en.wikipedia.org/wiki/The_Republic,medium
General/Philosophy/Ethics,Utilitarianism promotes what principle?,Duty,Pleasure,Greatest happiness,Divine command,C,Utilitarianism = greatest happiness,Wrong - duty is deontology,Wrong - pleasure is hedonism,Correct! Greatest happiness,Wrong - divine command is theology,https://en.wikipedia.org/wiki/Utilitarianism,medium
